[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'postTagRelationMapper' and 'com.coding.blog.service.mapper.PostTagRelationMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'postsMapper' and 'com.coding.blog.service.mapper.PostsMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'resourceCategoryMapper' and 'com.coding.blog.service.mapper.ResourceCategoryMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'resourceMapper' and 'com.coding.blog.service.mapper.ResourceMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'roleMapper' and 'com.coding.blog.service.mapper.RoleMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'roleMenuRelationMapper' and 'com.coding.blog.service.mapper.RoleMenuRelationMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'roleResourceRelationMapper' and 'com.coding.blog.service.mapper.RoleResourceRelationMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'siteMapper' and 'com.coding.blog.service.mapper.SiteMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'termRelationshipsMapper' and 'com.coding.blog.service.mapper.TermRelationshipsMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'termTaxonomyMapper' and 'com.coding.blog.service.mapper.TermTaxonomyMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"Skipping MapperFactoryBean with name 'usersMapper' and 'com.coding.blog.service.mapper.UsersMapper' mapperInterface. Bean already defined with the same name!"}
[2024-03-13 21:22:10]|||{"logger":"o.m.s.mapper.ClassPathMapperScanner", "thread":"restartedMain", "msg":"No MyBatis mapper was found in '[com.coding.blog.service.mapper]' package. Please check your configuration."}
[2024-03-13 21:22:10]|||{"logger":"o.s.b.w.e.tomcat.TomcatWebServer", "thread":"restartedMain", "msg":"Tomcat initialized with port(s): 8080 (http)"}
[2024-03-13 21:22:10]|||{"logger":"o.a.c.core.AprLifecycleListener", "thread":"restartedMain", "msg":"An older version [1.2.14] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.38]"}
[2024-03-13 21:22:10]|||{"logger":"o.a.c.core.AprLifecycleListener", "thread":"restartedMain", "msg":"Loaded Apache Tomcat Native library [1.2.14] using APR version [1.6.2]."}
[2024-03-13 21:22:10]|||{"logger":"o.a.c.core.AprLifecycleListener", "thread":"restartedMain", "msg":"APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [false]."}
[2024-03-13 21:22:10]|||{"logger":"o.a.c.core.AprLifecycleListener", "thread":"restartedMain", "msg":"APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]"}
[2024-03-13 21:22:11]|||{"logger":"o.a.c.core.AprLifecycleListener", "thread":"restartedMain", "msg":"OpenSSL successfully initialized [OpenSSL 1.0.2l  25 May 2017]"}
[2024-03-13 21:22:11]|||{"logger":"o.a.coyote.http11.Http11NioProtocol", "thread":"restartedMain", "msg":"Initializing ProtocolHandler ["http-nio-0.0.0.0-8080"]"}
[2024-03-13 21:22:11]|||{"logger":"o.a.catalina.core.StandardService", "thread":"restartedMain", "msg":"Starting service [Tomcat]"}
[2024-03-13 21:22:11]|||{"logger":"o.a.catalina.core.StandardEngine", "thread":"restartedMain", "msg":"Starting Servlet engine: [Apache Tomcat/9.0.82]"}
[2024-03-13 21:22:11]|||{"logger":"o.a.c.c.C.[Tomcat].[localhost].[/]", "thread":"restartedMain", "msg":"Initializing Spring embedded WebApplicationContext"}
[2024-03-13 21:22:11]|||{"logger":"o.s.b.w.s.c.ServletWebServerApplicationContext", "thread":"restartedMain", "msg":"Root WebApplicationContext: initialization completed in 2676 ms"}
[2024-03-13 21:22:13]|||{"logger":"c.alibaba.druid.pool.DruidDataSource", "thread":"restartedMain", "msg":"{dataSource-1} inited"}
[2024-03-13 21:22:14]|||{"logger":"c.c.b.w.s.c.DynamicSecurityFilter", "thread":"restartedMain", "msg":"Could not validate configuration attributes as the SecurityMetadataSource did not return any attributes from getAllConfigAttributes()"}
[2024-03-13 21:22:14]|||{"logger":"c.c.b.s.s.i.oss.impl.AliOssWrapper", "thread":"restartedMain", "msg":"init ossClient"}
